Depcom	affichage	atteinte cible	Rep_hab graph	Rep_hab	Reste (num)	Nom Com Dep	Nom Commune	Latitude	Longitude	cible	nb rep 2019 cyclistes	Number of Records	Population	Unité affichage
95563	1.923446817	0.192344682	1.923446817	1.923446817	22	Saint-Leu-la-Forêt-95	Saint-Leu-la-Forêt	49.020216481	2.246760442	155.97	28	30	15597	réponses par habitant
95555	1.968882059	0.196888206	1.968882059	1.968882059	12	Saint-Gratien-95	Saint-Gratien	48.968972495	2.285180034	208.24	38	41	20824	réponses par habitant
95543	0.2	0.02	0.2	4.065040650	49	Saint-Cyr-en-Arthies-95	Saint-Cyr-en-Arthies	49.059130605	1.741957905	50	1	1	246	réponses par habitant
95539	0.607492406	0.060749241	0.607492406	0.607492406	42	Saint-Brice-sous-Forêt-95	Saint-Brice-sous-Forêt	49.001903362	2.350306890	148.15	8	9	14815	réponses par habitant
95527	0.2	0.02	0.2	0.344946533	49	Roissy-en-France-95	Roissy-en-France	49.00660444	2.514177435	50	1	1	2899	réponses par habitant
95510	0.2	0.02	0.2	1.838235294	49	Puiseux-Pontoise-95	Puiseux-Pontoise	49.063764209	2.015867500	50	1	1	544	réponses par habitant
95500	2.280873249	0.228087325	2.280873249	2.280873249	0	Pontoise-95	Pontoise	49.051373785	2.094879289	306.9	64	70	30690	réponses par habitant
95491	0.2	0.012150668	0.2	0.121506683	49	Le Plessis-Bouchard-95	Le Plessis-Bouchard	49.003279348	2.234019996	82.3	1	1	8230	réponses par habitant
95488	0.367286974	0.036728697	0.367286974	0.367286974	47	Pierrelaye-95	Pierrelaye	49.019444402	2.161055578	81.68	3	3	8168	réponses par habitant
95487	0.236873273	0.023687327	0.236873273	0.236873273	48	Persan-95	Persan	49.149744171	2.269783932	126.65	2	3	12665	réponses par habitant
95480	0.358230342	0.035823034	0.358230342	0.358230342	48	Parmain-95	Parmain	49.122869909	2.201277887	55.83	2	2	5583	réponses par habitant
95476	0.474242694	0.047424269	0.474242694	0.474242694	42	Osny-95	Osny	49.067658992	2.063116785	168.69	8	8	16869	réponses par habitant
95450	1.462701121	0.06	1.462701121	1.462701121	47	Neuville-sur-Oise-95	Neuville-sur-Oise	49.017334400	2.062766561	50	3	3	2051	réponses par habitant
95446	1.097694841	0.04	1.097694841	1.097694841	48	Nesles-la-Vallée-95	Nesles-la-Vallée	49.126040390	2.171762673	50	2	2	1822	réponses par habitant
95436	0.2	0.02	0.2	0.644329897	50	Mours-95	Mours	49.130394749	2.264150889	50	0	1	1552	réponses par habitant
95430	1.762114537	0.12	1.762114537	1.762114537	44	Montsoult-95	Montsoult	49.071583025	2.303814805	50	6	6	3405	réponses par habitant
95428	3.821596682	0.382159668	3.821596682	3.821596682	0	Montmorency-95	Montmorency	48.991864336	2.321197978	214.57	55	82	21457	réponses par habitant
95427	0.882223202	0.088222320	0.882223202	0.882223202	44	Montmagny-95	Montmagny	48.969919584	2.346075318	136.02	6	12	13602	réponses par habitant
95426	3.675242232	0.22	3.675242232	3.675242232	39	Montlignon-95	Montlignon	49.014168201	2.289004889	50	11	11	2993	réponses par habitant
